Word	Katakana	Emotion	
哀	アイ	悲	
愛	アイ	好親安尊	
相いれない	アイイレナイ	不	
哀感	アイカン	悲	
愛敬	アイキョウ	親	
愛好	アイコウ	好親	
哀愁	アイシュウ	悲	
愛執	アイシュウ	好	
哀傷	アイショウ	悲失痛	
愛情	アイジョウ	好親	
愛する	アイスル	好親	
哀惜	アイセキ	悲	
哀切	アイセツ	悲	
愛想を尽かす	アイソオツカス	嫌	
愛着	アイチャク	好親	
哀悼	アイトウ	悲	
愛慕	アイボ	好尊親安	
愛欲	アイヨク	好	
愛らしい	アイラシイ	好	
青息吐息	アオイキトイキ	ふ辛心	
仰ぐ	アオグ	尊	
青筋を立てる	アオスジヲタテル	怒興	
赤恥	アカッパジ	恥	
赤らむ	アカラム	恥	
赤らめる	アカラメル	恥	
崇める	アガメル	尊	
飽き飽き	アキアキ	不	
飽き足りる	アキタリル	幸	
諦め	アキラメ	悔情残	
諦める	アキラメル	悔情残	
飽きる	アキル	不	
呆れ返る	アキレカエル	あ	
呆れ果てる	アキレハテル	あ	
呆れる	アキレル	あ	
悪感情	アクカンジョウ	嫌	
倦む	アグム	悩鬱	
憧れ	アコガレ	尊親	
憧れる	アコガレル	尊親	
浅ましい	アサマシイ	あ憐見	
嘲る	アザケル	見	
味気ない	アジケナイ	不	
焦り	アセリ	焦	
焦る	アセル	焦	
唖然	アゼン	驚	
頭に来る	アタマニクル	怒	
頭を悩ませる	アタマヲナヤマセル	悩	
当たり散らす	アタリチラス	怒	
あッ	アッ	驚	
あっけない	アッケナイ	不	
呆気に取られる	アッケニトラレル	驚	
圧迫感	アッパクカン	苦	
熱い	アツイ	興不	
熱いものがこみ上げる	アツイモノガコミアゲル	興	
厚かましい	アツカマシイ	不	
熱くなる	アツクナル	興	
暑苦しい	アツクルシイ	不	
後味が良くない	アトアジガヨクナイ	不	
後味が宜しくない	アトアジガヨロシクナイ	不	
後味が悪い	アトアジガワルイ	不	
侮る	アナドル	見	
阿鼻叫喚	アビキョウカン	辛苦	
