Word	Katakana	Emotion	
哀	アイ	悲	
愛	アイ	好親	
相いれない	アイイレナイ	嫌	
哀感	アイカン	悲寂	
愛敬	アイキョウ	親好	
愛好	アイコウ	好	
哀愁	アイシュウ	悲寂	
愛執	アイシュウ	親好	
哀傷	アイショウ	悲辛	
愛情	アイジョウ	好親	
愛する	アイスル	好親	
哀惜	アイセキ	悲辛	
哀切	アイセツ	悲辛憐	
愛想を尽かす	アイソオツカス	あ失	
愛着	アイチャク	親好	
哀悼	アイトウ	尊寂	
愛慕	アイボ	好親	
愛欲	アイヨク	興親	
愛らしい	アイラシイ	親好	
青息吐息	アオイキトイキ	心辛	
仰ぐ	アオグ	尊	
青筋を立てる	アオスジヲタテル	怒	
赤恥	アカッパジ	恥	
赤らむ	アカラム	恥興	
赤らめる	アカラメル	恥興	
崇める	アガメル	尊	
飽き飽き	アキアキ	不	
飽き足りる	アキタリル	不	
諦め	アキラメ	悔失	
諦める	アキラメル	悔失	
飽きる	アキル	不	
呆れ返る	アキレカエル	あ	
呆れ果てる	アキレハテル	あ失	
呆れる	アキレル	あ	
悪感情	アクカンジョウ	嫌	
倦む	アグム	困あ	
憧れ	アコガレ	喜願興	
憧れる	アコガレル	願	
浅ましい	アサマシイ	見Ｆ	
嘲る	アザケル	見	
味気ない	アジケナイ	不	
焦り	アセリ	焦	
焦る	アセル	焦	
唖然	アゼン	失あ	
頭に来る	アタマニクル	怒	
頭を悩ませる	アタマヲナヤマセル	悩	
当たり散らす	アタリチラス	不怒	
あッ	アッ	驚	
あっけない	アッケナイ	不	
呆気に取られる	アッケニトラレル	驚あ	
圧迫感	アッパクカン	苦Ｆ	
熱い	アツイ	驚興	
熱いものがこみ上げる	アツイモノガコミアゲル	喜切苦興	
厚かましい	アツカマシイ	Ｆ	
熱くなる	アツクナル	興	
暑苦しい	アツクルシイ	苦Ｆ	
後味が良くない	アトアジガヨクナイ	き困Ｆ	
後味が宜しくない	アトアジガヨロシクナイ	き困Ｆ	
後味が悪い	アトアジガワルイ	き困Ｆ	
侮る	アナドル	見	
阿鼻叫喚	アビキョウカン	苦辛痛困	
危ない	アブナイ	驚心	
あほらしい	アホラシイ	あ憐	
荒々しい	アラアラシイ	興	
あらッ	アラッ	驚	
ありがたい	アリガタイ	感	
ありがたみ	アリガタミ	感	
ありがた迷惑	アリガタメイワク	困Ｆ	
ありがと	アリガト	感	
ありがとう	アリガトウ	感	
ありゃ	アリャ	驚困	
慌てふためく	アワテフタメク	驚焦困	
慌てる	アワテル	驚焦	
哀れ	アワレ	憐	
憐れ	アワレ	憐	
憐れみ	アワレミ	憐	
憐れむ	アワレム	憐	
安逸	アンイツ	楽	
暗鬱	アンウツ	鬱Ｆ	
安閑	アンカン	安	
案外	アンガイ	驚	
安心	アンシン	安	
案ずる	アンズル	心ふ	
暗然	アンゼン	鬱	
安息感	アンソクカン	安	
暗澹	アンタン	ふ鬱	
安定	アンテイ	穏	
安堵	アンド	安喜	
安寧	アンネイ	安	
安楽	アンラク	安	
怡怡	イイ	喜楽	
言い寄る	イイヨル	願	
いかがわしい	イカガワシイ	興願	
厳つい	イカツイ	Ｆ	
怒らす	イカラス	怒	
怒り	イカリ	怒	
怒りが爆発する	イカリガバクハツスル	怒興	
怒り狂う	イカリクルウ	怒興	
遺憾	イカン	失悔情残	
意外	イガイ	驚	
啀み合う	イガミアウ	嫌	
啀む	イガム	嫌	
息を詰める	イキオツメル	緊ふ	
息が詰まる	イキガツマル	緊ふ	
息苦しい	イキグルシイ	苦	
息苦しさ	イキグルシサ	苦	
意気軒昂	イキケンコウ	願興	
意気消沈	イキショウチン	残失	
憤り	イキドオリ	怒不	
憤る	イキドオル	怒不	
行き悩む	イキナヤム	困辛鬱	
生き恥	イキハジ	恥	
息巻く	イキマク	怒興	
熱り立つ	イキリタツ	怒興	
息を飲む	イキヲノム	動驚気	
息を潜める	イキヲヒソメル	緊ふ	
いけ好かない	イケスカナイ	嫌不Ｆ	
いけ図々しい	イケズウズウシイ	見Ｆ	
依怙地になる	イコジニナル	た	
遺恨	イコン	恨不残	
勇ましい	イサマシイ	気興	
意趣	イシュ	恨	
萎縮	イシュク	怖ふ	
意地汚い	イジキタナイ	見嫌Ｆ	
意地悪	イジワル	見嫌Ｆ	
いそいそ	イソイソ	喜	
意想外	イソウガイ	驚	
痛い	イタイ	辛苦	
痛々しい	イタイタシイ	辛苦残	
居た堪れない	イタタマレナイ	き	
痛ましい	イタマシイ	辛苦残	
痛み	イタミ	辛苦	
痛み入る	イタミイル	恐あ	
悼む	イタム	尊悲寂	
痛める	イタメル	辛苦	
いちゃもんを付ける	イチャモンヲツケル	願	
一憂	イチユウ	鬱	
一喜	イッキ	喜	
一驚	イッキョウ	驚	
慈しみ	イツクシミ	親好安	
慈しむ	イツクシム	親好安	
逸楽	イツラク	楽	
厭う	イトウ	嫌尊	
愛おしい	イトオシイ	尊親好	
愛おしむ	イトオシム	尊親好	
愛しい	イトシイ	尊親好	
愛しがる	イトシガル	親好	
愛しさ	イトシサ	尊親好	
厭わしい	イトワシイ	嫌見	
厭わしさ	イトワシサ	嫌見	
畏怖	イフ	恐	
忌忌しい	イマイマシイ	嫌Ｆ	
忌忌しがる	イマイマシガル	嫌Ｆ	
忌まわしい	イマワシイ	嫌失Ｆ	
忌み嫌う	イミキラウ	嫌Ｆ	
忌む	イム	嫌Ｆ	
嫌	イヤ	嫌	
厭	イヤ	嫌	
厭厭	イヤイヤ	不嫌	
厭がる	イヤガル	嫌Ｆ	
嫌気	イヤケ	不Ｆ	
卑しい	イヤシイ	見嫌	
卑しむ	イヤシム	見	
嫌味	イヤミ	嫌見Ｆ	
厭らしい	イヤラシイ	嫌	
苛苛しい	イライラシイ	不Ｆ	
苛苛する	イライラスル	不Ｆ	
苛立たしい	イラダタシイ	不Ｆ	
苛立たしさ	イラダタシサ	不Ｆ	
苛立ち	イラダチ	不Ｆ	
苛立つ	イラダツ	不Ｆ	
苛立てる	イラダテル	不Ｆ	
色を失う	イロヲウシナウ	心怖	
色をなす	イロヲナス	怒	
陰鬱	インウツ	鬱不Ｆ	
陰気	インキ	鬱不	
陰気臭い	インキクサイ	嫌Ｆ	
陰惨	インサン	怖	
陰湿	インシツ	不Ｆ	
浮かされる	ウカサレル	興	
