Word	Katakana	Emotion	
哀	アイ	悲	
愛	アイ	好	
相いれない	アイイレナイ	嫌	
哀感	アイカン	悲	
愛敬	アイキョウ	好親	
愛好	アイコウ	好	
哀愁	アイシュウ	寂	
愛執	アイシュウ	好親	
哀傷	アイショウ	悲	
愛情	アイジョウ	好	
愛する	アイスル	好	
哀惜	アイセキ	悲	
哀切	アイセツ	悲	
愛想を尽かす	アイソオツカス	あ失	
愛着	アイチャク	好親	
哀悼	アイトウ	悲	
愛慕	アイボ	好	
愛欲	アイヨク	好	
愛らしい	アイラシイ	安親好	
青息吐息	アオイキトイキ	失	
仰ぐ	アオグ	尊	
青筋を立てる	アオスジヲタテル	怒	
赤恥	アカッパジ	恥	
赤らむ	アカラム	恥	
赤らめる	アカラメル	恥	
崇める	アガメル	尊	
飽き飽き	アキアキ	不怠	
飽き足りる	アキタリル	不	
諦め	アキラメ	辛失	
諦める	アキラメル	辛失	
飽きる	アキル	Ｆ失	
呆れ返る	アキレカエル	あ	
呆れ果てる	アキレハテル	あ	
呆れる	アキレル	あ	
悪感情	アクカンジョウ	嫌	
倦む	アグム	Ｆ不	
憧れ	アコガレ	尊	
憧れる	アコガレル	尊	
浅ましい	アサマシイ	嫌	
嘲る	アザケル	嫌	
味気ない	アジケナイ	Ｆ	
焦り	アセリ	焦	
焦る	アセル	焦	
唖然	アゼン	困あ	
頭に来る	アタマニクル	怒	
頭を悩ませる	アタマヲナヤマセル	悩困	
当たり散らす	アタリチラス	怒	
あッ	アッ	驚	
あっけない	アッケナイ	あＦ残	
呆気に取られる	アッケニトラレル	困あ	
圧迫感	アッパクカン	怖	
熱い	アツイ	興	
熱いものがこみ上げる	アツイモノガコミアゲル	興	
厚かましい	アツカマシイ	嫌	
熱くなる	アツクナル	興	
暑苦しい	アツクルシイ	嫌Ｆ	
後味が良くない	アトアジガヨクナイ	Ｆ	
後味が宜しくない	アトアジガヨロシクナイ	Ｆ	
後味が悪い	アトアジガワルイ	Ｆ	
侮る	アナドル	見	
阿鼻叫喚	アビキョウカン	怖	
危ない	アブナイ	怖焦	
あほらしい	アホラシイ	困失	
荒々しい	アラアラシイ	怖	
あらッ	アラッ	驚	
ありがたい	アリガタイ	感	
ありがたみ	アリガタミ	感	
ありがた迷惑	アリガタメイワク	不	
ありがと	アリガト	感	
ありがとう	アリガトウ	感	
ありゃ	アリャ	驚	
慌てふためく	アワテフタメク	焦	
慌てる	アワテル	焦	
哀れ	アワレ	憐	
憐れ	アワレ	憐	
憐れみ	アワレミ	憐	
憐れむ	アワレム	憐	
安逸	アンイツ	楽	
暗鬱	アンウツ	Ｆ	
安閑	アンカン	穏	
案外	アンガイ	驚	
安心	アンシン	安穏	
案ずる	アンズル	心	
暗然	アンゼン	悲鬱	
安息感	アンソクカン	安穏	
暗澹	アンタン	失	
安定	アンテイ	穏	
安堵	アンド	安穏	
安寧	アンネイ	穏	
安楽	アンラク	安	
怡怡	イイ	喜楽	
言い寄る	イイヨル	親	
いかがわしい	イカガワシイ	嫌	
厳つい	イカツイ	怖	
怒らす	イカラス	怒	
怒り	イカリ	怒	
怒りが爆発する	イカリガバクハツスル	怒	
怒り狂う	イカリクルウ	怒	
遺憾	イカン	あ残	
意外	イガイ	驚	
啀み合う	イガミアウ	嫌	
啀む	イガム	嫌	
息を詰める	イキオツメル	辛苦	
息が詰まる	イキガツマル	辛苦	
息苦しい	イキグルシイ	辛苦	
息苦しさ	イキグルシサ	辛苦	
意気軒昂	イキケンコウ	興	
意気消沈	イキショウチン	鬱失	
憤り	イキドオリ	怒	
憤る	イキドオル	怒	
行き悩む	イキナヤム	悩	
生き恥	イキハジ	恥	
息巻く	イキマク	怒	
熱り立つ	イキリタツ	興	
息を飲む	イキヲノム	興緊	
息を潜める	イキヲヒソメル	怖	
いけ好かない	イケスカナイ	嫌	
いけ図々しい	イケズウズウシイ	嫌	
依怙地になる	イコジニナル	見	
遺恨	イコン	恨	
勇ましい	イサマシイ	尊	
意趣	イシュ	恨	
萎縮	イシュク	き恥	
意地汚い	イジキタナイ	嫌	
意地悪	イジワル	嫌	
いそいそ	イソイソ	喜	
意想外	イソウガイ	驚	
痛い	イタイ	辛苦	
痛々しい	イタイタシイ	憐	
居た堪れない	イタタマレナイ	憐	
痛ましい	イタマシイ	憐	
痛み	イタミ	辛苦	
痛み入る	イタミイル	恐	
悼む	イタム	悲憐	
痛める	イタメル	辛苦	
いちゃもんを付ける	イチャモンヲツケル	不怒	
一憂	イチユウ	鬱	
一喜	イッキ	喜	
一驚	イッキョウ	驚	
慈しみ	イツクシミ	安穏	
慈しむ	イツクシム	安穏	
逸楽	イツラク	喜楽	
厭う	イトウ	嫌	
愛おしい	イトオシイ	安親	
愛おしむ	イトオシム	安親	
愛しい	イトシイ	安親	
愛しがる	イトシガル	好	
愛しさ	イトシサ	安親	
厭わしい	イトワシイ	嫌	
厭わしさ	イトワシサ	嫌	
畏怖	イフ	怖	
忌忌しい	イマイマシイ	嫌	
忌忌しがる	イマイマシガル	嫌	
忌まわしい	イマワシイ	嫌	
忌み嫌う	イミキラウ	嫌	
忌む	イム	切	
嫌	イヤ	嫌	
厭	イヤ	嫌	
厭厭	イヤイヤ	嫌	
厭がる	イヤガル	嫌	
嫌気	イヤケ	嫌	
卑しい	イヤシイ	嫌	
卑しむ	イヤシム	嫌	
嫌味	イヤミ	嫌	
厭らしい	イヤラシイ	嫌	
苛苛しい	イライラシイ	不	
苛苛する	イライラスル	不	
苛立たしい	イラダタシイ	不	
苛立たしさ	イラダタシサ	不	
苛立ち	イラダチ	不	
苛立つ	イラダツ	不	
苛立てる	イラダテル	不	
色を失う	イロヲウシナウ	心怖	
色をなす	イロヲナス	怒	
陰鬱	インウツ	Ｆ鬱	
陰気	インキ	Ｆ嫌	
陰気臭い	インキクサイ	嫌	
陰惨	インサン	怖	
陰湿	インシツ	嫌	
浮かされる	ウカサレル	興好	
浮かぬ顔	ウカヌカオ	困	
浮かれる	ウカレル	興喜	
浮き足立つ	ウキアシタツ	怖不	
うきうきする	ウキウキスル	興喜	
浮き立つ	ウキタツ	興喜	
憂き目	ウキメ	悲	
憂さ	ウサ	鬱	
胡散臭い	ウサンクサイ	困嫌	
後ろめたい	ウシロメタイ	不心	
後ろめたさ	ウシロメタサ	不心	
薄気味悪い	ウスキミワルイ	怖	
薄汚い	ウスギタナイ	嫌	
うずうず	ウズウズ	興	
打ち萎れる	ウチシオレル	失	
打ち拉がれる	ウチヒシガレル	失	
有頂天	ウチョウテン	喜	
鬱気	ウッキ	鬱	
鬱屈	ウックツ	鬱	
鬱散	ウッサン	気	
鬱積	ウッセキ	不	
鬱陶しい	ウットウシイ	嫌	
鬱陶しさ	ウットウシサ	嫌	
うっとり	ウットリ	楽気	
鬱憤	ウップン	不	
鬱	ウツ	鬱	
鬱鬱と	ウツウツト	鬱	
俯き	ウツムキ	鬱	
俯く	ウツムク	鬱	
鬱悶	ウツモン	鬱悩苦	
虚	ウツロ	鬱	
疎ましい	ウトマシイ	嫌	
疎む	ウトム	嫌	
疎んじる	ウトンジル	嫌	
疎んずる	ウトンズル	嫌	
美味い	ウマイ	喜	
旨い	ウマイ	喜	
上手い	ウマイ	尊	
呻き声	ウメキゴエ	怖	
呻く	ウメク	辛苦	
敬う	ウヤマウ	尊	
うら悲しい	ウラガナシイ	悲	
